PROJECT_ID,COMMIT_HASH,LINES_ADDED,LINES_REMOVED,num_commit,lines_added_last_commits,lines_removed_last_commits
org.apache:archiva,61745667ab1f4775ca2b73ccfae6f7a53d6fc305,316,20,16878,553,993
org.apache:archiva,f4477dca33100a865cb558111fae3947ba68afd0,5,5,18035,589,336
org.apache:archiva,0a1b1d317f0dfcd8d0929c3a69bc612c7bdc1326,62,32,18135,543,331
org.apache:archiva,384b971464f8febadd44ee4e232f8c8dee91a675,355,277,18200,498,107
org.apache:archiva,18d67e6fa854db9302e1a58a1b0de760dac9d017,255,161,18410,742,338
org.apache:archiva,63e9988bb537635051fa1b16083205a2c5d0d13a,6,7,18630,993,495
org.apache:archiva,979fee6e57a1d391dcc423c9868dba2a1ff7116c,68,17,18690,683,482
org.apache:archiva,0222469bc6a02b317576de17d598aadda5d6c430,213,322,18696,746,494
org.apache:archiva,4579f684aa761897191c06736b7fd4f12b2e1369,102,48,18735,897,784
org.apache:archiva,1e6934261ce6e7e559553e4bccd926b0fbab8706,73,38,19245,644,555
org.apache:archiva,33c8c4c81ed23a9be69cb35645d72314267b30c9,175,121,19292,462,432
org.apache:archiva,453cf94a457478980363cf6eddfd43e010bb989d,638,99,19628,631,546
org.apache:archiva,6ea52a427d7fe7ed6de999f1320ad8e653e0b295,626,84,19635,1201,628
org.apache:archiva,621a98296ff6fb128f07a7670401a24a3c09e398,8,4,19765,1614,390
org.apache:archiva,678173ca42972b644f69399ebead4eba3c03d0ac,227,120,19811,1520,346
org.apache:archiva,b02cdf39a14af419375fe8f6f6bddd6d8aafec14,883,116,20111,1674,428
org.apache:archiva,0dc680c13e6845211715b7d9f7e397a24ffe3799,977,222,20772,2382,423
org.apache:archiva,b88c2f51072384d4691090c63796bb5954f87464,142,49,21486,2721,546
org.apache:archiva,30e0e0a01fe80be1b869616e08cefeedea1d5491,7,7,21654,2237,511
org.apache:archiva,255949579d3ab36bf59eda5948cf28321db59e18,912,99,22308,2236,514
org.apache:archiva,bf527dc936e557e9ae5d865c309574914448a9b5,283,18,22400,2921,493
org.apache:archiva,a4f284152219e030f0b8c3de5742339d18fafc4d,558,252,22456,2321,395
org.apache:archiva,36562a669647390e5d2065e3cfd77c3b268c9319,588,273,22462,1902,425
org.apache:archiva,ee78778213ac20a0ce8ea8ad66e3dc5b447c059f,61,20,23142,2348,649
org.apache:archiva,6907587afb8f9bb587faa56621c6abd1d669bf99,58,21,23508,2402,662
org.apache:archiva,21b1ac804be223d0702bd9dc774c14214d61f0c3,986,447,23731,1548,584
org.apache:archiva,5761f19b589673fb882bbe358555e176f646d820,105,85,24360,2251,1013
org.apache:archiva,c1abddcaf9427b95ad98f53b5da6bdb7492d0ca6,522,148,24437,1798,846
org.apache:archiva,b4dfa907738c748cc6e083c45f8672ffae430ff6,21,30,24720,1732,721
org.apache:archiva,16f3847d18877a2f59c13fea6e05ad9ee0ce5a4b,9,222,25116,1692,731
org.apache:archiva,322c16f688a286da1b96884ea613dd69da864eb4,513,394,25245,1643,932
org.apache:archiva,2721d7bf8d98505f9961d0d741b3bbc396497f2b,312,258,25272,1170,879
org.apache:archiva,50ec629df8c16b4cdd7445a9142ce6298e299fd4,9,10,25284,1377,1052
org.apache:archiva,281092c41a59a5288a9918eff122d38f77313e32,42,19,25606,864,914
org.apache:archiva,76289acb8d77d6bd543d2d5fe4a109e40e1c0f73,9,8,25656,885,903
org.apache:archiva,ce43e1a9e0fd38a63b600fe098e7b8d1698237ce,1173,113,25718,885,689
org.apache:archiva,9a7ab73755f82236490a3e419e53088b1225fe42,298,30,25760,1545,408
org.apache:archiva,6561a250ed451eb85765d905664cd2e6b3de44ed,8,8,26313,1531,180
